facility_name,facility_id,state,measure_id,score,predicted_readmission_rate,expected_readmission_rate,number_of_discharges,number_of_readmissions,start_date,end_date,footnote,risk_band,condition
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-AMI-HRRP,0.9483,13.0146,13.7235,296.0,36.0,2020-07-01,2023-06-30,,Low,Acute Myocardial Infarction
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-CABG-HRRP,0.9509,9.6899,10.1898,151.0,13.0,2020-07-01,2023-06-30,,Low,CABG
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,1.0597,21.5645,20.3495,681.0,151.0,2020-07-01,2023-06-30,,High,Heart Failure
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HIP-KNEE-HRRP,0.9654,4.268,4.4211,,,2020-07-01,2023-06-30,,Moderate,Hip/Knee Replacement
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-PN-HRRP,0.9715,16.1137,16.5863,490.0,77.0,2020-07-01,2023-06-30,,Moderate,Pneumonia
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-COPD-HRRP,0.933,15.4544,16.5637,130.0,16.0,2020-07-01,2023-06-30,,Low,COPD
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HIP-KNEE-HRRP,0.8497,4.2346,4.9836,,,2020-07-01,2023-06-30,,Low,Hip/Knee Replacement
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HF-HRRP,0.9935,20.1511,20.2835,176.0,35.0,2020-07-01,2023-06-30,,Moderate,Heart Failure
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-PN-HRRP,0.8495,13.3621,15.7296,305.0,30.0,2020-07-01,2023-06-30,,Low,Pneumonia
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-COPD-HRRP,0.8696,15.5737,17.909,144.0,14.0,2020-07-01,2023-06-30,,Low,COPD
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-COPD-HRRP,0.9463,17.788,18.7982,154.0,24.0,2020-07-01,2023-06-30,,Low,COPD
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HF-HRRP,0.9666,19.1704,19.8318,508.0,95.0,2020-07-01,2023-06-30,,Moderate,Heart Failure
