facility_name,facility_id,state,condition,measure_id,score,predicted_readmission_rate,expected_readmission_rate,number_of_discharges,number_of_readmissions,readmit_rate_calc,delta_pred_exp,ratio_pred_exp,risk_band,high_risk,low_risk,volume_band,score_z_condition,score_z_state,start_date,end_date,period_days,period_years,footnote
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,Acute MI,READM-30-AMI-HRRP,13.0146,13.0146,13.7235,296.0,36.0,0.12162162162162163,-0.7088999999999999,0.9483440813203629,Moderate,1,0,High Volume,-0.2681449539212623,-0.3607179494624416,2020-07-01,2023-06-30,1094,2.9952087611225187,
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,CABG,READM-30-CABG-HRRP,9.6899,9.6899,10.1898,151.0,13.0,0.08609271523178808,-0.49990000000000023,0.950941137215647,Low,1,0,Medium Volume,-0.6712462558080641,-1.0838229730208622,2020-07-01,2023-06-30,1094,2.9952087611225187,
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,Heart Failure,READM-30-HF-HRRP,21.5645,21.5645,20.3495,681.0,151.0,0.22173274596182085,1.2149999999999999,1.0597066266984447,High,1,0,High Volume,1.0724233454055252,1.4988410004945887,2020-07-01,2023-06-30,1094,2.9952087611225187,
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,4.268,4.268,4.4211,,,,-0.15310000000000024,0.965370609124426,Low,1,0,,-0.6590288903704059,-2.2630581302474995,2020-07-01,2023-06-30,1094,2.9952087611225187,
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,Pneumonia,READM-30-PN-HRRP,16.1137,16.1137,16.5863,490.0,77.0,0.15714285714285714,-0.4725999999999999,0.9715066048485799,Elevated,1,0,High Volume,0.07262503963651926,0.31332024300903016,2020-07-01,2023-06-30,1094,2.9952087611225187,
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,COPD,READM-30-COPD-HRRP,15.4544,15.4544,16.5637,130.0,16.0,0.12307692307692308,-1.109300000000001,0.9330282485193525,Moderate,1,0,Low Volume,-1.3392593546914189,0.1699259090745194,2020-07-01,2023-06-30,1094,2.9952087611225187,
MARSHALL MEDICAL CENTERS,010005,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
MARSHALL MEDICAL CENTERS,010005,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,4.2346,4.2346,4.9836,,,,-0.7489999999999997,0.8497070390882094,Low,1,0,,-0.6874383773218663,-2.2703224571903364,2020-07-01,2023-06-30,1094,2.9952087611225187,
MARSHALL MEDICAL CENTERS,010005,AL,Heart Failure,READM-30-HF-HRRP,20.1511,20.1511,20.2835,176.0,35.0,0.19886363636363635,-0.13240000000000052,0.9934725269307565,High,1,0,Medium Volume,0.3506668429546283,1.1914338238177544,2020-07-01,2023-06-30,1094,2.9952087611225187,
MARSHALL MEDICAL CENTERS,010005,AL,Pneumonia,READM-30-PN-HRRP,13.3621,13.3621,15.7296,305.0,30.0,0.09836065573770492,-2.3674999999999997,0.8494875902756587,Moderate,1,0,High Volume,-1.3519012284496632,-0.2851384999823227,2020-07-01,2023-06-30,1094,2.9952087611225187,
